Seasons,Hailsimulationlevel,Cultivar,rep, Y,YR,MCC, MCCR,TM, TDM,TDMR,SC,SCR, ST,MT,LT,LTR,SB,RB,R/S,TE
1,0,Mondial,1,67.44510236,100,88.6,100,127,18.20016142,100,15.50144695,100,28.57142857,42.85714286,28.57142857,100,0.265371165,0.065594309,0.247179487,29
1,0,Mondial,2,69.02372058,100,94.92,100,107,18.92744479,100,16.94743155,100,36.36363636,45.45454545,18.18181818,100,0.4175173,0.062600377,0.149934811,22
1,0,Mondial,3,53.3736262,100,92.98,100,107,19.88781234,100,17.37309393,100,30.76923077,46.15384615,23.07692308,100,0.416156423,0.035927173,0.086330935,29
1,0,Sababa,1,43.43921847,100,90.81,100,99,18.10776942,100,13.6831088,100,46.15384615,38.46153846,15.38461538,100,0.181541095,0.042187211,0.232383808,29
1,0,Sababa,2,46.1065389,100,92.29,100,107,17.47343566,100,15.1113941,100,53.84615385,30.76923077,15.38461538,100,0.195694224,0.097166673,0.496522949,22
1,0,Sababa,3,53.99962998,100,89.4,100,99,19.85887097,100,15.9602648,100,50,28.57142857,21.42857143,100,0.029667135,0.017963587,0.605504587,22
1,0,Panamera,1,56.6125153,100,90.15,100,127,21.20192308,100,16.94706815,100,20,40,40,100,0.649955224,0.07838656,0.120603015,36
1,0,Panamera,2,80.64561675,100,95.64,100,107,20.01349983,100,16.95850713,100,16.66666667,41.66666667,41.66666667,100,0.500530844,0.062600377,0.125067972,29
1,0,Panamera,3,69.05093813,100,88.94,100,127,20.06306661,100,16.73766749,100,10,40,50,100,0.4175173,0.150513082,0.360495437,36
1,0,Tyson,1,51.16900421,100,93,100,107,21.06382979,100,16.65272049,100,57.14285714,35.71428571,7.142857143,100,0.239514488,0.004082633,0.017045455,29
1,0,Tyson,2,39.71041338,100,93,100,99,14.49746504,100,12.98087508,100,53.33333333,33.33333333,13.33333333,100,0.219917848,0.075392629,0.342821782,22
1,0,Tyson,3,46.37871446,100,87,100,99,17.19483568,100,15.39607188,100,53.33333333,26.66666667,20,100,0.29449395,0.103154535,0.350277264,22
2,0,Mondial,1,55.00667953,100,95.2,100,127,18.76590834,100,14.91797009,100,45.45454545,27.27272727,27.27272727,100,0.235431854,0.017963587,0.076300578,29
2,0,Mondial,2,61.04897683,100,91,100,107,20.59580785,100,15.20343197,100,41.66666667,41.66666667,16.66666667,100,0.183174148,0,0,29
2,0,Mondial,3,66.30196503,100,95.03,100,107,18.70710027,100,15.03460465,100,57.14285714,28.57142857,14.28571429,100,0.244957999,0.047086371,0.192222222,36
2,0,Sababa,1,68.37049925,100,91.35,100,106,20.66082803,100,15.70254748,100,53.84615385,30.76923077,15.38461538,100,0.188617659,0.06613866,0.350649351,22
2,0,Sababa,2,47.84846245,100,89.2,100,99,16.54450974,100,12.71857863,100,46.15384615,23.07692308,30.76923077,100,0.280612997,0.019324464,0.068865179,36
2,0,Sababa,3,45.37166491,100,98.55,100,92,17.04996866,100,14.29843789,100,50,28.57142857,21.42857143,100,0.188617659,0.000816527,0.004329004,22
2,0,Panamera,1,56.50364508,100,96.71,100,134,19.23039391,100,14.78334993,100,38.46153846,23.07692308,38.46153846,100,0.444734856,0.04409244,0.099143207,36
2,0,Panamera,2,55.03389708,100,85.91,100,127,18.49653808,100,14.46151645,100,30,30,40,100,0.216379566,0.040281982,0.186163522,36
2,0,Panamera,3,64.39673615,100,89.83,100,127,20.48778497,100,18.16560723,100,27.27272727,18.18181818,54.54545455,100,0.219373497,0.07593698,0.346153846,29
2,0,Tyson,1,40.20032937,100,92.27,100,106,16.94373781,100,13.39544293,100,57.14285714,28.57142857,14.28571429,100,0.167932317,0.017419235,0.103727715,29
2,0,Tyson,2,50.080302,100,88.04,100,92,19.50891141,100,16.10497509,100,60,26.66666667,13.33333333,100,0.104515413,0,0,22
2,0,Tyson,3,45.04505424,100,89.83,100,99,16.78193308,100,14.07365801,100,66.66666667,25,8.333333333,100,0.213385635,0,0,22
1,25,Mondial,1,52.91092776,78.4503632,83.3,94.01805869,107,16.57710944,91.08221107,14.11906062,91.08221107,36.36363636,45.45454545,18.18181818,63.63636364,0.261832883,0.134726899,0.514553015,29
1,25,Mondial,2,53.78188953,77.91798107,87.4,92.07753898,127,17.67505099,93.38318605,14.20516275,83.81897109,37.5,50,12.5,68.75,0.336953336,0.098799726,0.293214863,22
1,25,Mondial,3,45.64384046,85.51759306,82.2,88.40610884,107,18.18723912,91.449169,13.98142552,80.47746462,27.27272727,54.54545455,18.18181818,78.78787879,0.280068645,0.01959664,0.069970845,29
1,25,Sababa,1,37.26083339,85.77694236,83.01,91.41063759,99,15.50467549,85.62443629,11.98691425,87.60373407,50,30,20,130,0.146430448,0,0,29
1,25,Sababa,2,38.48562338,83.47107438,85.8,92.96781883,99,16.58543246,94.91798172,13.25702641,87.72867894,58.33333333,33.33333333,8.333333333,54.16666667,0.156773119,0.097166673,0.619791667,22
1,25,Sababa,3,34.83847095,64.51612903,87.47,97.84116331,107,15.56710996,78.38869584,11.62730327,72.85156865,50,30,20,93.33333333,0.020140991,0.000816527,0.040540541,22
1,25,Panamera,1,56.17703441,99.23076923,88.19,97.82584581,107,20.34883721,95.97637505,15.64315233,92.30595043,11.11111111,44.44444444,44.44444444,111.1111111,0.485561189,0.089001406,0.183295964,36
1,25,Panamera,2,66.08422459,81.9439757,87.58,91.57256378,127,19.65646654,98.21603768,16.57013593,97.70987389,11.11111111,44.44444444,44.44444444,106.6666667,0.480117678,0.109414573,0.227891156,29
1,25,Panamera,3,55.11554975,79.81868348,87.48,98.35844389,127,18.81481481,93.77835989,15.12117316,90.34217678,12.5,37.5,50,100,0.401458943,0.17691411,0.440677966,36
1,25,Tyson,1,42.35051625,82.76595745,87.04,93.59139785,107,17.67352185,83.90459869,14.0495768,84.36805751,66.66666667,25,8.333333333,116.6666667,0.172287126,0.121390297,0.704581359,29
1,25,Tyson,2,30.56531475,76.97052776,89,95.69892473,107,11.97845191,82.62445798,10.46383417,80.60962072,57.14285714,28.57142857,14.28571429,107.1428571,0.152690486,0.021229693,0.139037433,22
1,25,Tyson,3,33.80420385,72.88732394,81.71,93.91954023,99,14.29291586,83.1233059,11.48699351,74.60989787,66.66666667,25,8.333333333,41.66666667,0.266459868,0.061783851,0.231869254,22
2,25,Mondial,1,45.42610002,82.58287976,88.56,93.02521008,114,15.42947963,82.22079822,11.79402113,79.05915519,44.44444444,33.33333333,22.22222222,81.48148148,0.210391703,0.027761907,0.131953428,29
2,25,Mondial,2,36.19934872,59.29558627,86,94.50549451,100,16.86456944,81.88350547,13.03827016,85.75872987,50,37.5,12.5,75,0.141531288,0,0,29
2,25,Mondial,3,47.68515712,71.92118227,88.5,93.12848574,107,16.44599238,87.91310329,13.57647754,90.30152672,54.54545455,36.36363636,9.090909091,63.63636364,0.219917848,0.017963587,0.081683168,36
2,25,Sababa,1,53.99962998,78.98089172,86,94.14340449,106,18.19556452,88.06793461,12.63703608,80.47761742,58.33333333,33.33333333,8.333333333,54.16666667,0.142347815,0.007620916,0.053537285,22
2,25,Sababa,2,36.8253525,76.96245734,85.25,95.57174888,92,14.7628228,89.2309475,11.47784376,90.24470498,50,25,25,81.25,0.24305277,0.013336602,0.054871221,36
2,25,Sababa,3,42.94930247,94.66106779,82.09,83.29781837,99,15.5565263,91.24079119,11.55146438,80.78829635,45.45454545,36.36363636,18.18181818,84.84848485,0.182085446,0.094444917,0.518684604,22
2,25,Panamera,1,37.99570738,67.24470135,89.06,92.08975287,134,17.40687679,90.51752593,13.15348034,88.97496439,25,25,50,130,0.421872109,0.012792251,0.030322581,36
2,25,Panamera,2,51.49561488,93.57072206,85.08,99.03387266,127,17.11104612,92.50945253,13.15410301,90.95936141,22.22222222,33.33333333,44.44444444,111.1111111,0.189434186,0.021501869,0.113505747,36
2,25,Panamera,3,52.01274843,80.76923077,86.79,96.6158299,120,19.42558752,94.81545977,16.12101924,88.74473082,30,20,50,91.66666667,0.195694224,0.095805795,0.489568846,29
2,25,Tyson,1,37.99570738,94.51591063,84.38,91.44900835,106,14.36117371,84.75800245,11.22828223,83.82165701,50,33.33333333,16.66666667,116.6666667,0.148607853,0.030483662,0.205128205,29
2,25,Tyson,2,25.77502499,51.4673913,83.98,95.38845979,99,14.98505226,76.81131943,12.17412919,75.59235031,81.81818182,18.18181818,0,0,0.07593698,0.042187211,0.555555556,22
2,25,Tyson,3,24.550235,54.50151057,80.58,89.7027719,92,14.17981666,84.494537,11.39609744,80.97466512,66.66666667,25,8.333333333,100,0.15486789,0.037832402,0.244288225,22
1,50,Mondial,1,48.50168378,71.91283293,81.15,91.59142212,127,14.95611756,82.1757413,11.36687967,73.32786232,33.33333333,44.44444444,22.22222222,77.77777778,0.198415979,0.060422973,0.304526749,29
1,50,Mondial,2,47.71237467,69.12460568,84.3,88.81163085,107,16.38670893,86.5764455,12.52571026,73.90919518,37.5,50,12.5,68.75,0.274080783,0.055251638,0.201588878,22
1,50,Mondial,3,42.35051625,79.3472718,80.32,86.38416864,127,16.06683805,80.78735746,12.35136889,71.09481445,37.5,37.5,25,108.3333333,0.287961736,0.064777782,0.224952741,29
1,50,Sababa,1,31.51792919,72.55639098,87.69,96.56425504,99,13.51623618,74.6432974,10.39059575,75.93739041,44.44444444,33.33333333,22.22222222,144.4444444,0.138809533,0.055795989,0.401960784,29
1,50,Sababa,2,30.97357808,67.17827627,84.28,91.32083649,107,12.97359018,74.24750594,10.76659826,71.24821306,60,30,10,65,0.152690486,0.043820264,0.286987522,22
1,50,Sababa,3,35.19229917,65.17137097,81.78,91.47651007,107,14.09582425,70.97998808,11.32859405,70.97998808,62.5,12.5,25,116.6666667,0.017691411,0.028850609,1.630769231,22
1,50,Panamera,1,53.59136665,94.66346154,86.19,95.60732113,127,17.97866938,84.79735216,13.35002139,78.77481387,16.66666667,33.33333333,50,125,0.406085927,0.072126522,0.177613941,36
1,50,Panamera,2,59.38870595,73.64157948,86.53,90.47469678,134,16.52236549,82.55610278,11.98004007,70.64324698,20,40,40,96,0.360632609,0.099616253,0.276226415,29
1,50,Panamera,3,52.8837102,76.58651951,82.59,92.8603553,134,18.4765826,92.09251487,14.12317271,84.37957507,0,33.33333333,66.66666667,133.3333333,0.396287607,0.130644266,0.32967033,36
1,50,Tyson,1,34.51186029,67.44680851,85,91.39784946,107,16.16719243,76.75333779,12.42851625,74.63354864,70,20,10,140,0.137448655,0.075392629,0.548514851,29
1,50,Tyson,2,26.34659366,66.34681289,85.7,92.15053763,107,10.35733549,71.44238978,9.092929577,70.04866407,77.77777778,22.22222222,0,0,0.109686748,0.034838471,0.317617866,22
1,50,Tyson,3,32.33445585,69.71830986,71.71,82.42528736,99,14.85841877,86.41210098,11.35751231,73.76889638,63.63636364,27.27272727,9.090909091,45.45454545,0.174192355,0.063416904,0.3640625,22
2,50,Mondial,1,42.67712692,77.58535379,85.61,89.92647059,127,14.14164493,75.35816906,10.80962308,72.46041526,50,37.5,12.5,45.83333333,0.182357621,0.077842209,0.426865672,29
2,50,Mondial,2,47.44019912,77.70842621,85.63,94.0989011,107,15.93258534,77.35838992,11.83070619,77.81602348,42.85714286,42.85714286,14.28571429,85.71428571,0.114041557,0.005171336,0.045346062,29
2,50,Mondial,3,45.39888246,68.4729064,87.39,91.96043355,127,14.61276933,78.11349234,11.61642975,77.26461731,50,40,10,70,0.183174148,0.047630722,0.260029718,36
2,50,Sababa,1,41.31624915,60.42993631,84.77,92.79693487,106,15.9737803,77.31432779,12.21007493,77.75856081,75,25,0,0,0.118124191,0.020685342,0.175115207,22
2,50,Sababa,2,32.98767718,68.94197952,85.19,95.5044843,99,12.78877888,77.29923145,10.44568403,82.12933489,50,25,25,81.25,0.19896033,0,0,36
2,50,Sababa,3,27.70747143,61.06778644,81.95,83.1557585,92,13.26129666,77.77900903,9.383860609,65.628572,50,37.5,12.5,58.33333333,0.166571439,0.024767975,0.14869281,22
2,50,Panamera,1,49.29099289,87.23506744,86.08,89.00837556,134,16.19121908,84.19598245,12.16416497,82.2828725,28.57142857,28.57142857,42.85714286,111.4285714,0.403364172,0.053346409,0.132253711,36
2,50,Panamera,2,45.80714579,83.23442136,82.09,95.55348621,127,16.4125358,88.7330144,12.47377996,86.25499272,25,37.5,37.5,93.75,0.155956593,0.111319802,0.713787086,36
2,50,Panamera,3,48.66498911,75.57058326,85.68,95.38016253,141,18.02141932,87.96177501,13.46046301,74.09861304,33.33333333,16.66666667,50,91.66666667,0.176641935,0.027489731,0.155624037,29
2,50,Tyson,1,25.72058988,63.98104265,81.39,88.20851848,106,12.98846481,76.65643176,10.09831059,75.38616409,66.66666667,22.22222222,11.11111111,77.77777778,0.107509344,0.024767975,0.230379747,29
2,50,Tyson,2,31.62679941,63.15217391,82.75,93.99136756,99,13.55266652,69.46910689,10.83288352,67.2642054,80,20,0,0,0.063144729,0.025040151,0.396551724,22
2,50,Tyson,3,30.48366208,67.67371601,79.06,88.01068685,92,11.98741138,71.43045635,9.267660738,65.85111513,77.77777778,22.22222222,0,0,0.134726899,0.031572364,0.234343434,22
1,75,Mondial,1,38.8394516,57.58676352,79.3,89.503386,107,13.56117757,74.51130383,10.18826318,65.72459475,50,50,0,0,0.141531288,0,0,29
1,75,Mondial,2,40.47250493,58.63564669,82.94,87.37884534,107,14.54331035,76.83715637,11.05313984,65.22014741,42.85714286,42.85714286,14.28571429,78.57142857,0.236520557,0.089545757,0.378596087,22
1,75,Mondial,3,33.88585651,63.48801632,78.43,84.35147344,99,14.49943896,72.90615331,10.4499385,60.1501295,42.85714286,42.85714286,14.28571429,61.9047619,0.204131666,0.000544351,0.002666667,29
1,75,Sababa,1,24.82241055,57.14285714,82.05,90.3534853,107,11.07851206,61.18098702,9.871202405,72.14151804,60,20,20,130,0.095805795,0.018235762,0.190340909,29
1,75,Sababa,2,23.70649078,51.41676505,83.15,90.09643515,99,10.24787687,58.64832233,9.936614002,65.75577302,71.42857143,28.57142857,0,0,0.114858084,0.038921104,0.338862559,22
1,75,Sababa,3,28.30625765,52.41935484,72.46,81.05145414,99,10.84048005,54.58759496,10.5585571,66.15527522,83.33333333,16.66666667,0,0,0.006532213,0,0,22
1,75,Panamera,1,41.31624915,72.98076923,85.12,94.42041043,99,15.16857757,71.54340441,11.2633939,66.4621975,16.66666667,33.33333333,50,125,0.355733449,0.040009806,0.112471308,36
1,75,Panamera,2,51.76779043,64.1916976,83.32,87.11836052,107,16.94316548,84.65868352,12.21116471,72.00613012,25,25,50,120,0.354372572,0.023134922,0.065284178,29
1,75,Panamera,3,48.90994711,70.83169097,82.36,92.60175399,107,15.65158639,78.01193454,11.75874887,70.25321105,0,40,60,120,0.252034563,0.187801132,0.745140389,36
1,75,Tyson,1,27.13590277,53.03191489,75.23,80.89247312,107,8.87843681,42.15015455,6.747748704,40.5203985,85.71428571,14.28571429,0,0,0.081380491,0.038104578,0.468227425,29
1,75,Tyson,2,19.56942236,49.28032899,78.44,84.34408602,99,5.913493046,40.78984173,4.75258211,36.61218587,85.71428571,14.28571429,0,0,0.060422973,0.01959664,0.324324324,22
1,75,Tyson,3,23.18935723,50,80.7,92.75862069,99,8.659274941,50.35974232,6.618996496,42.99146267,87.5,12.5,0,0,0.146974799,0.023134922,0.157407407,22
2,75,Mondial,1,37.99570738,69.07471549,75.23,79.02310924,114,10.94133184,58.30430184,7.981122782,53.50005887,57.14285714,42.85714286,0,0,0.137448655,0.011431373,0.083168317,29
2,75,Mondial,2,34.37577251,56.30851538,78.44,86.1978022,107,12.62723555,61.30973664,9.266042228,60.94704304,40,40,20,120,0.102610184,0.047630722,0.464190981,29
2,75,Mondial,3,42.78599714,64.5320197,80.7,84.9205514,100,13.34230232,71.32212973,10.08209074,67.05923414,80,20,0,0,0.155412242,0.027217555,0.175131349,36
2,75,Sababa,1,35.21951673,51.51273885,78.59,86.03174603,106,13.02024614,63.01899479,11.7719053,74.96812423,71.42857143,28.57142857,0,0,0.0734874,0.003538282,0.048148148,22
2,75,Sababa,2,29.61270031,61.88850967,74,82.95964126,99,9.214982307,55.69812857,7.285214808,57.28010197,50,33.33333333,16.66666667,54.16666667,0.16221663,0.01469748,0.090604027,36
2,75,Sababa,3,25.12180366,55.36892621,75.77,76.88483004,92,10.32058586,60.53140665,9.060666284,63.36822492,60,40,0,0,0.130916442,0.035927173,0.274428274,22
2,75,Panamera,1,46.65089001,82.56262042,81.39,84.15882535,114,13.85542503,72.04961633,10.40932588,70.41249739,28.57142857,28.57142857,42.85714286,111.4285714,0.307558376,0.071309995,0.231858407,36
2,75,Panamera,2,39.71041338,72.15628091,79.59,92.64346409,107,12.52508516,67.71583475,9.519257609,65.82475387,16.66666667,33.33333333,50,125,0.131460793,0.027761907,0.211180124,36
2,75,Panamera,3,43.43921847,67.4556213,80.58,89.7027719,100,15.81967325,77.21514681,11.67778063,64.28511024,33.33333333,0,66.66666667,122.2222222,0.148880028,0.099616253,0.669104205,29
2,75,Tyson,1,20.95751768,52.13270142,77.14,83.60247101,106,9.966362662,58.82033098,7.531066996,56.22111217,71.42857143,28.57142857,0,0,0.057429042,0.015786182,0.274881517,29
2,75,Tyson,2,25.17623877,50.27173913,79.59,90.40208996,99,11.64767486,59.70438134,8.750683809,54.3352831,77.77777778,22.22222222,0,0,0.043275913,0.026128853,0.603773585,22
2,75,Tyson,3,17.60975836,39.09365559,76,84.60425248,92,9.579243006,57.08068886,7.405866994,52.62218955,85.71428571,14.28571429,0,0,0.10043278,0.019052289,0.189701897,22
1,100,Mondial,1,36.06326095,53.47054076,78.5,88.60045147,107,9.624002125,52.87866356,7.230335715,46.64297301,50,50,0,0,0.125745106,0.057973393,0.461038961,29
1,100,Mondial,2,34.97455873,50.670347,74.45,78.43447113,99,8.952221597,47.29757077,6.139237517,36.22517961,50,50,0,0,0.22835529,0.043548089,0.190703218,22
1,100,Mondial,3,28.66008587,53.69709332,73.7,79.26435793,99,8.430866334,42.39212534,5.560802995,32.0081329,50,50,0,0,0.164938386,0.132821671,0.805280528,29
1,100,Sababa,1,23.29822745,53.63408521,79.22,87.23708843,107,8.982302716,49.60468905,7.88575847,57.63133644,66.66666667,33.33333333,0,0,0.116491137,0.006260038,0.053738318,29
1,100,Sababa,2,20.95751768,45.45454545,73.43,79.56441651,99,8.599274286,49.21341432,7.624593841,50.45592612,80,20,0,0,0.042459386,0.01959664,0.461538462,22
1,100,Sababa,3,21.58352146,39.96975806,71.59,80.07829978,99,9.1447686,46.04878402,8.028390796,50.30236589,80,20,0,0,0.00244958,0.026673204,10.88888889,22
1,100,Panamera,1,39.62876071,70,77.58,86.05657238,99,14.73338015,69.49077259,10.55420383,62.27746144,50,50,0,0,0.305925323,0.146974799,0.480427046,36
1,100,Panamera,2,44.5823558,55.28180898,80.81,84.49393559,107,11.54066117,57.66438289,7.712745038,45.48009433,0,33.33333333,66.66666667,160,0.330693299,0.01714706,0.051851852,29
1,100,Panamera,3,37.85961961,54.82853764,81.39,91.5111311,107,13.82163965,68.89096225,10.26322811,61.31815032,0,50,50,100,0.251762388,0.026401029,0.104864865,36
1,100,Tyson,1,17.90915147,35,71.85,77.25806452,107,6.309728723,29.95527778,3.665778871,22.01309313,100,0,0,0,0.066955186,0.007620916,0.113821138,29
1,100,Tyson,2,17.25593014,43.45442084,76.91,82.69892473,99,5.952580718,41.05945901,4.394081391,33.85042507,83.33333333,16.66666667,0,0,0.089817933,0.016058358,0.178787879,22
1,100,Tyson,3,19.67829258,42.42957746,76.66,88.11494253,99,5.411510512,31.47171984,3.9946737,25.94605774,100,0,0,0,0.058245569,0.008709618,0.14953271,22
2,100,Mondial,1,30.07539875,54.67590302,75.2,78.99159664,106,9.207329638,49.06412987,6.273977537,42.05650969,66.66666667,33.33333333,0,0,0.089817933,0.011703549,0.13030303,29
2,100,Mondial,2,38.02292494,62.28265716,76.12,83.64835165,99,10.62863171,51.60580148,7.753024578,50.99522655,33.33333333,66.66666667,0,0,0.081108315,0.002993931,0.036912752,29
2,100,Mondial,3,37.58744405,56.69129721,78.03,82.11091234,92,10.88455985,58.18411027,7.9872424,53.12572285,80,20,0,0,0.123023351,0.019324464,0.157079646,36
2,100,Sababa,1,23.13492212,33.83757962,63.51,69.52380952,106,8.910705,43.12849896,7.044658129,44.86315446,66.66666667,33.33333333,0,0,0.047902898,0.091450986,1.909090909,22
2,100,Sababa,2,22.2911779,46.58703072,70.75,79.3161435,99,8.570213376,51.80095095,6.588344677,51.80095095,50,50,0,0,0.132821671,0.000272176,0.00204918,36
2,100,Sababa,3,23.46153278,51.70965807,74,75.08878742,92,8.738503567,51.25231456,6.946678654,48.58347957,100,0,0,0,0.083013544,0.01469748,0.17704918,22
2,100,Panamera,1,37.39692116,66.1849711,72.34,74.8009513,114,12.86324545,66.89018183,9.551574611,64.61035324,40,20,40,104,0.270814677,0.121390297,0.448241206,36
2,100,Panamera,2,43.24869558,78.58555885,70.6,82.17902456,107,12.53989978,67.79592876,8.982912064,62.11597584,0,33.33333333,66.66666667,166.6666667,0.108598046,0.103426711,0.952380952,36
2,100,Panamera,3,37.12474561,57.65004227,78.02,86.85294445,100,13.7829912,67.27418908,9.271506686,51.03879308,50,0,50,91.66666667,0.133093846,0.104787588,0.787321063,29
2,100,Tyson,1,17.20149503,42.78943805,74.75,81.01224667,106,6.012658228,35.48602023,4.385916108,32.74185206,83.33333333,16.66666667,0,0,0.037832402,0.000544351,0.014388489,29
2,100,Tyson,2,20.95751768,41.84782609,69.37,78.79373012,99,8.667661364,44.42924149,6.511854498,40.4338067,100,0,0,0,0.030483662,0.021501869,0.705357143,22
2,100,Tyson,3,20.90308257,46.40483384,74.74,83.20160303,92,9.114583333,54.31187986,7.04663112,50.06964867,100,0,0,0,0.039465455,0.043548089,1.103448276,22
